## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0018.HJJV3DMXX.s_1/SLX-17617.UDP0018.HJJV3DMXX.s_1.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0018.HJJV3DMXX.s_1.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 24 03:44:43 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	54654454	54654454	49404188	1	0.903937	43620813	0.882938	4867541355	4344359517	2512325585	1551473575	803742195	1949739559	0.834877	0.165123	0.618221	67.707847	52.546003	44	1560	0.461676	0.358293	81.628836	0.003267	0.107484	0.002045	0.002958	0.083248	0.801207	2.189417	0.991447	0.98882	0.959968	0.865068	0.718324	0.567188	0.435152	0.095047	83235265	5.113186	5.383398	5.687922	6.052493	6.487406	12.746024	5.748502	1.604265	0.982558	18			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	317370	0
1	97458	0
2	88706	0
3	96912	0
4	108105	8
5	120019	20
6	133277	2549
7	152699	15896
8	174436	21999
9	196411	1393709
10	226755	2804792
11	252040	3085541
12	280179	836125
13	313504	1656192
14	342009	2515229
15	365837	1170481
16	394819	367583
17	423992	92579
18	450015	251285
19	472165	73278
20	489783	6529
21	505702	12818
22	520894	59959
23	538045	613350
24	547486	1960192
25	556868	10304756
26	564102	5194471
27	571009	6742931
28	575532	7981587
29	575551	8381375
30	577811	64422135
31	575544	1712606621
32	572588	116931812
33	568438	560349
34	567121	152860
35	560215	142027
36	558300	132238
37	550486	122126
38	543494	0
39	533996	0
40	528736	0
41	520456	0
42	510889	0
43	502734	0
44	494181	0
45	487095	0
46	478463	0
47	467824	0
48	458516	0
49	450339	0
50	439862	0
51	430102	0
52	421112	0
53	409379	0
54	401412	0
55	391109	0
56	385017	0
57	376029	0
58	367336	0
59	359166	0
60	352697	0
61	344144	0
62	335559	0
63	328614	0
64	317024	0
65	310659	0
66	300944	0
67	294334	0
68	286347	0
69	278984	0
70	273214	0
71	264330	0
72	256824	0
73	249531	0
74	242507	0
75	234812	0
76	228666	0
77	221487	0
78	214791	0
79	208427	0
80	203162	0
81	196772	0
82	191972	0
83	184923	0
84	180301	0
85	174941	0
86	170218	0
87	165289	0
88	159811	0
89	155155	0
90	150310	0
91	145627	0
92	141698	0
93	136963	0
94	133054	0
95	129223	0
96	125517	0
97	120355	0
98	117244	0
99	112776	0
100	109866	0
101	105928	0
102	102223	0
103	100142	0
104	96897	0
105	93082	0
106	90426	0
107	88084	0
108	84782	0
109	82372	0
110	79838	0
111	77149	0
112	75190	0
113	72569	0
114	70247	0
115	68697	0
116	65640	0
117	63586	0
118	60950	0
119	58812	0
120	57577	0
121	55792	0
122	54098	0
123	52576	0
124	50486	0
125	48978	0
126	47205	0
127	45815	0
128	43889	0
129	42356	0
130	41178	0
131	39648	0
132	38291	0
133	37337	0
134	36448	0
135	35083	0
136	34355	0
137	33099	0
138	31361	0
139	30630	0
140	29325	0
141	28574	0
142	27823	0
143	26751	0
144	25755	0
145	24784	0
146	24246	0
147	23395	0
148	22989	0
149	21763	0
150	21030	0
151	20423	0
152	19844	0
153	19494	0
154	18896	0
155	18317	0
156	17799	0
157	17086	0
158	16649	0
159	15998	0
160	15536	0
161	14995	0
162	14380	0
163	14205	0
164	13514	0
165	13284	0
166	12730	0
167	12393	0
168	12142	0
169	11738	0
170	11406	0
171	11090	0
172	10605	0
173	10173	0
174	9998	0
175	9910	0
176	9458	0
177	9350	0
178	9136	0
179	8954	0
180	8510	0
181	8259	0
182	8117	0
183	7524	0
184	7782	0
185	7152	0
186	6963	0
187	6843	0
188	6621	0
189	6217	0
190	6101	0
191	6016	0
192	5969	0
193	5757	0
194	5587	0
195	5531	0
196	5455	0
197	5489	0
198	5074	0
199	4958	0
200	218202	0

