## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0011.HJJV3DMXX.s_2/SLX-17617.UDP0011.HJJV3DMXX.s_2.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0011.HJJV3DMXX.s_2.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 23 23:28:34 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	35964294	35964294	32981700	1	0.917068	29284429	0.887899	3210065098	2913204354	1543806282	1124031675	542227141	1263013698	0.831085	0.168915	0.578673	41.605992	34.038557	28	1154	0.431659	0.353148	76.059996	0.003272	0.092478	0.002224	0.004324	0.057337	0.842147	2.269237	0.991204	0.987534	0.915485	0.69893	0.478082	0.312787	0.199013	0.020057	65114765	5.58677	6.009968	6.54602	7.228781	8.173361	-1	6.2888	1.499803	0.974517	16			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	326389	0
1	136157	0
2	145479	0
3	177338	0
4	222623	0
5	284168	28
6	351555	63
7	425994	3883
8	499625	17862
9	566620	1177275
10	637683	2652031
11	694866	2343968
12	745814	1354183
13	789222	2415515
14	821442	2248728
15	845627	923064
16	859988	167930
17	874580	274707
18	882823	185337
19	883309	76521
20	879554	20227
21	871887	5684
22	863210	9029
23	852262	72850
24	835995	1309520
25	819138	8296812
26	799842	6091662
27	780541	5605081
28	758804	9650745
29	733442	23516083
30	713132	59122527
31	689158	1097549298
32	669337	48136306
33	646434	323355
34	623179	124513
35	602064	135734
36	577974	103957
37	556201	95286
38	536910	0
39	518930	0
40	501942	0
41	484448	0
42	465607	0
43	445721	0
44	427446	0
45	411112	0
46	394342	0
47	379315	0
48	363664	0
49	348045	0
50	333201	0
51	320884	0
52	306768	0
53	293480	0
54	281253	0
55	267612	0
56	255551	0
57	243643	0
58	233143	0
59	221304	0
60	210395	0
61	201754	0
62	192740	0
63	184321	0
64	175368	0
65	166528	0
66	158928	0
67	153432	0
68	146578	0
69	139388	0
70	132702	0
71	127060	0
72	120175	0
73	114424	0
74	109695	0
75	104477	0
76	99654	0
77	94684	0
78	90715	0
79	86307	0
80	82216	0
81	78061	0
82	74053	0
83	70005	0
84	66949	0
85	64223	0
86	61241	0
87	58109	0
88	55027	0
89	52992	0
90	49959	0
91	47563	0
92	45736	0
93	44190	0
94	41687	0
95	40012	0
96	38331	0
97	36072	0
98	34805	0
99	32828	0
100	31234	0
101	29139	0
102	28267	0
103	26950	0
104	25533	0
105	24211	0
106	22801	0
107	21878	0
108	21183	0
109	19723	0
110	18672	0
111	18205	0
112	17025	0
113	16282	0
114	15690	0
115	14901	0
116	14191	0
117	13750	0
118	13376	0
119	12649	0
120	12373	0
121	11789	0
122	11146	0
123	10953	0
124	10312	0
125	9799	0
126	9532	0
127	8962	0
128	8745	0
129	8329	0
130	7824	0
131	7559	0
132	7554	0
133	7274	0
134	6894	0
135	6644	0
136	6270	0
137	6170	0
138	6007	0
139	5634	0
140	5383	0
141	5283	0
142	5148	0
143	5008	0
144	4691	0
145	4475	0
146	4484	0
147	4212	0
148	4084	0
149	3981	0
150	3825	0
151	3626	0
152	3467	0
153	3430	0
154	3195	0
155	3096	0
156	2992	0
157	2882	0
158	2791	0
159	2643	0
160	2579	0
161	2591	0
162	2502	0
163	2301	0
164	2246	0
165	2130	0
166	2155	0
167	2051	0
168	2018	0
169	1946	0
170	1841	0
171	1739	0
172	1645	0
173	1544	0
174	1501	0
175	1433	0
176	1403	0
177	1380	0
178	1260	0
179	1292	0
180	1295	0
181	1256	0
182	1171	0
183	1111	0
184	1112	0
185	1051	0
186	1056	0
187	1031	0
188	1015	0
189	945	0
190	912	0
191	830	0
192	889	0
193	735	0
194	792	0
195	730	0
196	751	0
197	665	0
198	692	0
199	676	0
200	33824	0

