## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0015.HJJV3DMXX.s_2/SLX-17617.UDP0015.HJJV3DMXX.s_2.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0015.HJJV3DMXX.s_2.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 24 00:55:47 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	41612472	41612472	38223572	1	0.91856	33880356	0.886373	3710182604	3372704436	1825376668	1222389457	662416479	1460207749	0.82146	0.17854	0.598923	49.19439	39.35299	33	1311	0.440782	0.352603	77.809844	0.003211	0.09096	0.002221	0.0039	0.075236	0.825693	2.186277	0.991854	0.989148	0.94066	0.773851	0.568853	0.397227	0.269006	0.033208	75350422	5.324137	5.647143	6.022353	6.498706	7.066414	-1	5.142622	1.377843	0.979964	17			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	302248	0
1	100414	0
2	105170	0
3	128950	2
4	156165	10
5	192233	45
6	231190	6491
7	277869	22253
8	326114	372873
9	381481	2666781
10	430430	594751
11	483501	2286323
12	530155	1666321
13	575150	3209727
14	617201	2090613
15	660801	814345
16	689936	203455
17	714470	174383
18	733720	236051
19	754139	71399
20	767167	1567
21	773248	18282
22	775654	103926
23	774551	96959
24	774229	5177643
25	768501	6674459
26	761891	4110984
27	750128	7165573
28	736696	8126874
29	724478	10370839
30	709770	58941517
31	695874	1323041052
32	679283	31264124
33	660867	323684
34	643643	139255
35	629025	127158
36	610557	122513
37	595197	110914
38	578823	0
39	565198	0
40	546362	0
41	526820	0
42	510890	0
43	498455	0
44	485314	0
45	468510	0
46	453039	0
47	437212	0
48	421498	0
49	409608	0
50	396373	0
51	381317	0
52	369185	0
53	355729	0
54	342139	0
55	329675	0
56	315740	0
57	304940	0
58	293073	0
59	282416	0
60	272453	0
61	260870	0
62	250679	0
63	242001	0
64	231408	0
65	222862	0
66	214068	0
67	204731	0
68	196004	0
69	187567	0
70	179990	0
71	172797	0
72	165883	0
73	159960	0
74	152604	0
75	146066	0
76	140520	0
77	133700	0
78	127877	0
79	122532	0
80	117369	0
81	112357	0
82	108122	0
83	102692	0
84	98394	0
85	93830	0
86	89568	0
87	86725	0
88	82350	0
89	79285	0
90	75277	0
91	71776	0
92	68824	0
93	65720	0
94	63286	0
95	60643	0
96	57751	0
97	55737	0
98	53258	0
99	51243	0
100	48749	0
101	47298	0
102	44426	0
103	42689	0
104	40817	0
105	39531	0
106	37765	0
107	36357	0
108	34758	0
109	33172	0
110	31301	0
111	29862	0
112	28247	0
113	27473	0
114	25869	0
115	24732	0
116	23793	0
117	23040	0
118	21635	0
119	20877	0
120	20081	0
121	18910	0
122	18746	0
123	17830	0
124	16861	0
125	16315	0
126	15734	0
127	14897	0
128	14246	0
129	13750	0
130	13333	0
131	12835	0
132	12468	0
133	11773	0
134	11534	0
135	10994	0
136	10563	0
137	10329	0
138	9901	0
139	9464	0
140	9186	0
141	8985	0
142	8593	0
143	8061	0
144	7660	0
145	7457	0
146	7511	0
147	6984	0
148	6684	0
149	6625	0
150	6378	0
151	6055	0
152	5833	0
153	5634	0
154	5596	0
155	5229	0
156	5102	0
157	5051	0
158	4873	0
159	4616	0
160	4622	0
161	4371	0
162	4208	0
163	4048	0
164	4003	0
165	3806	0
166	3656	0
167	3417	0
168	3557	0
169	3280	0
170	3269	0
171	3043	0
172	2960	0
173	2930	0
174	2842	0
175	2839	0
176	2700	0
177	2648	0
178	2623	0
179	2475	0
180	2434	0
181	2332	0
182	2281	0
183	2141	0
184	2083	0
185	2029	0
186	2021	0
187	1963	0
188	1889	0
189	1850	0
190	1750	0
191	1713	0
192	1712	0
193	1600	0
194	1517	0
195	1428	0
196	1423	0
197	1331	0
198	1258	0
199	1219	0
200	53853	0

