## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0005.HJJV3DMXX.s_2/SLX-17617.UDP0005.HJJV3DMXX.s_2.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0005.HJJV3DMXX.s_2.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 25 04:29:27 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	51092598	51092598	46354116	1	0.907257	40987355	0.884223	4555787242	4083642709	2233354088	1545086577	777346577	1787325930	0.829372	0.170628	0.591078	60.18949	48.168912	41	1541	0.438843	0.351201	77.530303	0.003201	0.103636	0.002174	0.003718	0.063747	0.824608	2.094301	0.99198	0.989387	0.958645	0.850293	0.684936	0.520208	0.381722	0.068321	81004350	5.016574	5.281243	5.590022	5.942914	6.376008	12.525941	4.195877	1.885378	0.983012	18			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	297600	0
1	96216	0
2	87570	0
3	94776	2
4	107580	15
5	124341	66
6	143608	4995
7	167537	19156
8	191566	9373
9	223714	795009
10	251833	3926436
11	284454	3193530
12	320541	1477708
13	357497	3080716
14	390699	2580614
15	425745	976693
16	455084	217046
17	485437	223307
18	511742	257873
19	537408	64369
20	561484	5010
21	578415	4315
22	593329	30199
23	607058	183549
24	620126	1919312
25	626513	9302360
26	633215	9026097
27	637564	8680652
28	639018	9717374
29	638889	12367059
30	636478	55060476
31	634431	1514530881
32	631989	154655839
33	629501	535224
34	620005	166730
35	610433	133345
36	602020	117227
37	592086	104280
38	583096	435
39	572262	0
40	560760	0
41	552214	0
42	541625	0
43	528734	0
44	518166	0
45	511524	0
46	498364	0
47	487421	0
48	476294	0
49	463478	0
50	451392	0
51	438650	0
52	425724	0
53	413312	0
54	401131	0
55	390244	0
56	381022	0
57	369631	0
58	359207	0
59	351110	0
60	341851	0
61	330167	0
62	320185	0
63	310505	0
64	298033	0
65	289668	0
66	280984	0
67	272644	0
68	264403	0
69	256085	0
70	247231	0
71	238417	0
72	231458	0
73	223613	0
74	216099	0
75	207797	0
76	200815	0
77	193099	0
78	187736	0
79	181086	0
80	174494	0
81	169637	0
82	163889	0
83	158407	0
84	153090	0
85	147484	0
86	141282	0
87	137252	0
88	132256	0
89	127415	0
90	123341	0
91	118598	0
92	114491	0
93	109882	0
94	106074	0
95	101829	0
96	98587	0
97	95651	0
98	92827	0
99	89091	0
100	85519	0
101	83132	0
102	79074	0
103	77103	0
104	74611	0
105	71885	0
106	69423	0
107	66684	0
108	64804	0
109	62521	0
110	60484	0
111	58545	0
112	56410	0
113	53690	0
114	51776	0
115	48928	0
116	47160	0
117	45966	0
118	44120	0
119	42473	0
120	40387	0
121	39247	0
122	38195	0
123	36915	0
124	35094	0
125	34013	0
126	33013	0
127	31479	0
128	30892	0
129	29714	0
130	28267	0
131	27660	0
132	26406	0
133	25578	0
134	24775	0
135	23758	0
136	22900	0
137	22197	0
138	20939	0
139	20508	0
140	19735	0
141	19122	0
142	18749	0
143	17449	0
144	17296	0
145	16498	0
146	16213	0
147	15563	0
148	14920	0
149	14389	0
150	14119	0
151	13539	0
152	13215	0
153	12389	0
154	12187	0
155	11889	0
156	11549	0
157	10933	0
158	10831	0
159	10343	0
160	10040	0
161	9837	0
162	9454	0
163	9378	0
164	8879	0
165	8826	0
166	8448	0
167	8322	0
168	7968	0
169	7845	0
170	7558	0
171	7485	0
172	7024	0
173	6932	0
174	6893	0
175	6307	0
176	6208	0
177	5994	0
178	6043	0
179	5738	0
180	5586	0
181	5470	0
182	5355	0
183	5058	0
184	5176	0
185	4970	0
186	4862	0
187	4594	0
188	4647	0
189	4522	0
190	4479	0
191	4444	0
192	4137	0
193	4161	0
194	3889	0
195	3848	0
196	3796	0
197	3598	0
198	3505	0
199	3582	0
200	163036	0

