## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] TARGET_INTERVALS=[/scratchb/cclab/giovan01/common_files/Nextera37_b37_mmu10.target.intervals] INPUT=/tmp/BAM_aligned_SLX-17617.UDP0001.HJJV3DMXX.s_2/SLX-17617.UDP0001.HJJV3DMXX.s_2.sorted.bam OUTPUT=/scratcha/cclab/giovan01/PDX/Exome/REPORTS_NOVOALIGN/BAM_stats/SLX-17617.UDP0001.HJJV3DMXX.s_2.bamMetrics.txt REFERENCE_SEQUENCE=/scratchb/cclab/giovan01/Genomes/human_g1k_v37_decoy_UCSC.mmu10.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true COVERAGE_CAP=200 SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 25 04:28:55 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
Nextera37_b37_mmu10	5868326279	37105383	37105383	1	50026858	50026858	44959850	1	0.898714	39593532	0.880642	4451986906	3947016050	2243249223	1417465008	791272675	1738094210	0.822265	0.177735	0.61279	60.456167	46.842104	40	1367	0.449867	0.348562	79.689478	0.003258	0.113426	0.002145	0.003496	0.076816	0.801753	2.129187	0.991184	0.988367	0.95337	0.836441	0.665879	0.501385	0.366294	0.063725	69976104	5.106577	5.424664	5.809511	6.272898	6.852524	-1	4.824859	1.860787	0.980987	17			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	327115	0
1	104529	0
2	103167	0
3	109970	1
4	124624	28
5	141447	8664
6	164470	28177
7	190243	53220
8	217173	1984539
9	247485	1395651
10	281613	174594
11	320257	2385794
12	357152	2315767
13	389540	3233410
14	425489	2345109
15	459688	727792
16	485685	366758
17	515273	117638
18	542910	254549
19	561081	82141
20	586508	29202
21	605746	123957
22	619803	37994
23	630029	3335223
24	640230	4773917
25	644425	6433805
26	649287	2944937
27	650695	8475482
28	652840	8502483
29	649213	11840777
30	644779	63555887
31	638989	1541781954
32	633922	76170764
33	625144	515474
34	619128	172063
35	609377	136706
36	597876	124468
37	588361	103211
38	578588	713
39	567441	0
40	555494	0
41	545360	0
42	533618	0
43	519999	0
44	505968	0
45	496388	0
46	482842	0
47	472358	0
48	455877	0
49	444697	0
50	433513	0
51	423095	0
52	411158	0
53	401499	0
54	389541	0
55	378724	0
56	366196	0
57	355936	0
58	347096	0
59	337982	0
60	328394	0
61	318624	0
62	310103	0
63	300604	0
64	291631	0
65	284511	0
66	275023	0
67	265802	0
68	255439	0
69	246283	0
70	237336	0
71	230272	0
72	221092	0
73	216033	0
74	207964	0
75	201045	0
76	194545	0
77	187516	0
78	180914	0
79	174141	0
80	168697	0
81	163029	0
82	157711	0
83	151926	0
84	146689	0
85	142129	0
86	136492	0
87	131584	0
88	126627	0
89	121623	0
90	118101	0
91	113851	0
92	109832	0
93	106431	0
94	102580	0
95	97626	0
96	94846	0
97	91648	0
98	88297	0
99	85235	0
100	82070	0
101	78836	0
102	75887	0
103	73585	0
104	70458	0
105	66932	0
106	65423	0
107	63183	0
108	60847	0
109	58941	0
110	56757	0
111	54890	0
112	52635	0
113	50517	0
114	48644	0
115	46521	0
116	45126	0
117	43370	0
118	41277	0
119	39944	0
120	38559	0
121	37000	0
122	36243	0
123	34907	0
124	33898	0
125	32088	0
126	31585	0
127	30440	0
128	29121	0
129	28222	0
130	27119	0
131	26037	0
132	25384	0
133	24433	0
134	23366	0
135	22262	0
136	21509	0
137	20857	0
138	20067	0
139	19054	0
140	18206	0
141	17510	0
142	16922	0
143	16539	0
144	15996	0
145	15305	0
146	14799	0
147	14328	0
148	13781	0
149	13199	0
150	12840	0
151	12240	0
152	11917	0
153	11521	0
154	10918	0
155	10817	0
156	10191	0
157	10228	0
158	9671	0
159	9468	0
160	9053	0
161	8755	0
162	8424	0
163	8265	0
164	7997	0
165	7878	0
166	7486	0
167	7413	0
168	7174	0
169	6822	0
170	6640	0
171	6535	0
172	6169	0
173	6075	0
174	5932	0
175	5817	0
176	5706	0
177	5569	0
178	5265	0
179	5185	0
180	5033	0
181	4870	0
182	4803	0
183	4664	0
184	4558	0
185	4369	0
186	4423	0
187	4121	0
188	4070	0
189	4047	0
190	3935	0
191	3832	0
192	3812	0
193	3606	0
194	3430	0
195	3497	0
196	3366	0
197	3436	0
198	3250	0
199	3184	0
200	141668	0

